Transect	Point Number	May-93	Sep-93	May-94	Sep-94	May-95	Aug-95	May-96	Aug-96	May-97	Sep-97	May-98	Sep-98	May-99	Sep-99	 July-00	Aug-00	Jun-15	May-02	Jul-03	May-04	May-05	May-06	Jun-07	May-08	May-09	May-10	May-11	May-12	
ES	22	SMC	B	SMC	SMC	B	B	B	B	R	BG	BG	ULVA	B	CV	B	X	SMC	B	B	B	B	ULVA	ULVA	HAL	ULVA	SC	B	B	
ES	23	SMC	B	SMC	SMC	SMC	B	B	B	R	BG	BG	SMC	SC	SMC	SMC	X	SMC	SMC	B	B	B	BG	HAL	ULVA	HAL	SMC	B	B	
ES	24	SMC	SMC	SMC	SMC	B	SMC	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	BG	HAL	HAL	SC	SC	B	B	
ES	25	B	B	SMC	SMC	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	SMC	B	PORPH	B	
ES	26	SMC	SMC	SMC	B	B	B	B	B	B	B	B	B	B	B	B	X	B	SMC	B	B	B	SMC	B	B	B	B	PORPH	B	
ES	27	SMC	SMC	B	B	DIAT	BG	SC	SMC	B	SC	B	B	B	CV	B	X	B	B	B	B	SMC	B	B	B	B	B	MASTO	B	
ES	28	MT	B	B	SMC	DIAT	BG	BG	B	B	B	B	B	B	MT	B	X	B	B	B	B	B	B	B	B	B	B	MASTO	B	
ES	29	SMC	SMC	B	SMC	R	BG	BG	R	R	SMC	B	B	B	SC	R	X	BG	BG	B	B	B	B	SMC	B	B	B	B	HAL	
ES	30	SMC	SMC	B	B	SMC	B	B	B	B	B	B	B	R	PETRO	R	X	SC	CHTH	B	B	B	R	SC	SMC	SC	B	SC	B	
LF	1	B	B	ANTHOE	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	SMC	B	B	B	B	B	B	B	
LF	2	B	B	ANTHOE	SMC	B	B	B	B	B	B	B	B	SMC	B	B	X	B	B	B	ANTHOE	B	B	B	B	SMC	B	B	B	
LF	3	SC	B	SMC	SMC	B	SC	B	B	B	B	B	B	B	B	B	X	B	SMC	B	B	B	B	B	B	B	B	B	B	
LF	4	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	SMC	B	B	B	B	B	B	SMC	B	B	B	
LF	5	PP	PP	PP	PP	PP	PP	SC	PP	PP	PP	PP	B	PP	B	PP	X	B	PP	PP	B	B	PP	HAL	B	B	B	B	B	
LF	6	SC	SC	SC	SC	PETRO	HAL	SC	SMC	SMC	B	SMC	ACRO	B	B	B	X	B	B	B	B	B	B	HAL	HAL	SMC	B	CV	CV	
LF	7	B	B	B	ANTHOE	B	B	B	B	B	B	B	B	B	B	SMC	X	B	B	B	B	B	B	B	SMC	B	B	B	B	
LF	8	B	B	B	B	B	B	B	B	B	B	B	SMC	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
LF	9	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
LF	10	B	B	B	SMC	B	B	B	B	B	B	B	B	SMC	B	B	X	B	B	B	SMC	SMC	B	B	B	B	B	B	B	
LF	11	SC	SC	SC	B	SC	ACRO	B	B	B	B	B	B	B	B	B	X	B	SMC	B	B	B	B	B	B	B	B	B	B	
LF	12	SC	SC	SC	B	SC	ACRO	B	B	B	B	B	SMC	B	B	B	X	B	SMC	B	B	B	B	B	B	B	B	SMC	B	
LF	13	B	B	B	B	B	B	B	B	B	B	B	CV	B	B	ANTHOE	X	B	B	B	B	B	B	B	B	B	B	B	B	
LF	14	PETRO	PETRO	PETRO	ACRO	MASTO	MASTO	B	ANTHOE	B	B	B	B	B	SMC	B	X	B	B	B	B	B	B	B	B	B	B	B	MT	
LF	15	B	B	B	B	B	B	B	B	DIAT	ULVA	MICRO	SC	PORPH	CV	CV	X	R	B	SC	B	B	B	B	B	B	B	B	B	
LF	16	B	B	B	B	B	B	SMC	B	DIAT	SC	ULVA	POLY	POLY	CV	SMC	X	SMC	B	B	B	B	SMC	B	B	B	SMC	ANTHOE	B	
LF	17	ANTHOE	SMC	SC	B	SC	B	ANTHOE	B	DIAT	ULVA	ULVA	FUCUS	RALF	FUCUS	R	X	R	B	B	B	B	B	B	B	B	B	B	B	
LF	18	SC	B	B	B	SC	SC	B	B	DIAT	ULVA	ULVA	MASTO	SC	SC	SMC	X	B	B	B	B	B	B	B	CV	CV	SMC	B	B	
LF	19	HAL	R	PETRO	HAL	PORPH	IRR	RALF	SC	SC	SMC	SC	B	SMC	SC	B	X	SMC	B	B	B	B	PORPH	MASTO	MASTO	MASTO	POLY	SMC	MICRO	
LF	20	HAL	HAL	HAL	MASTO	PORPH	MASTO	CV	HAL	HAL	SMC	DIAT	POLY	B	B	B	X	B	B	B	R	B	PORPH	HAL	MASTO	MASTO	SMC	B	SMC	
LF	21	B	ANTHOE	B	ANTHOE	B	B	B	B	B	B	B	B	B	B	SMC	X	B	B	B	B	B	ULVA	B	CV	CV	HAL	SMC	B	
LF	22	SC	ULVA	SC	ULVA	CV	SMC	CV	B	R	SC	SC	HAL	PP	SC	IRR	X	SC	SMC	B	B	B	SC	PP	PP	SC	SC	B	B	
LF	23	SC	HAL	CV	SMC	B	PORPH	B	B	R	ULVA	SC	SC	SC	B	B	X	B	B	B	B	B	B	CV	ALARIA	MASTO	SMC	B	CV	
LF	24	SC	SC	SC	CV	CV	HAL	SC	B	B	HAL	CV	CV	SC	CV	B	X	B	B	B	B	B	B	R	ALARIA	IRR	SC	SMC	CAL	
LF	25	X	X	X	X	X	X	X	B	B	X	X	X	X	X	PP	X	X (SMC)	X(SMC)	B	B	X(B)	B	SC	(SC)	HAL	B	B	CV	
LF	26	SC	SC	SC	ANTHOE	SC	SC	SC	B	B	MASTO	BG	SC	POLY	SC	SMC	X	PP	R	B	PP	PP	B	R	MASTO	HAL	B	B	SC	
LF	27	R	PETRO	SC	SC	B	SMC	SC	SMC	B	ULVA	ULVA	ULVA	CV	SMC	SMC	X	SMC	B	B	B	B	B	SC	HAL	HAL	B	B	CV	
LF	28	B	SC	SMC	B	SMC	ANTHOE	B	B	B	ULVA	ULVA	CV	MICRO	CV	B	X	R	B	B	B	B	B	R	PORPH	IRR	B	B	LEATHESIA	
LF	29	B	B	B	B	B	B	B	R	R	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	ULVA	B	
LF	30	B	B	B	B	B	B	B	B	B	B	B	B	R	DIAT	SMC	X	SC	CV	SC	B	B	B	B	R	MICRO	B	B	B	
F	1	SC	SC	SC	SC	SC	ENDO	SC	ENDO	ENDO	SC	CV	CV	CV	B	B	X	B	B	B	B	B	B	B	B	B	SMC	B	B	
F	2	SC	B	SC	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
F	3	B	SC	B	SC	SC	B	B	B	SC	FUCUS	FUCUS	SC	HEDO	CV	CV	X	SMC	B	B	B	B	B	B	B	B	B	B	B	
F	4	B	B	B	B	B	B	B	B	HAL	HAL	SC	CV	SMC	SMC	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
F	5	SC	SC	B	B	B	B	B	B	HAL	HAL	R	MASTO	SMC	PP	SMC	X	B	B	B	SMC	B	B	SMC	SMC	B	B	B	B	
F	6	SC	B	B	B	B	B	B	B	PORPH	SC	CV	SMC	CV	SMC	PP	X	B	SC	SC	B	PP	SC	SMC	B	B	B	B	CV	
F	7	B	B	B	SMC	B	B	B	B	PORPH	HAL	HAL	SC	POLY	CV	B	X	B	DIAT	CV	PETRO	R	CV	SMC	B	B	SMC	HAL	B	
F	8	SC	B	B	B	B	B	B	B	PORPH	HAL	HAL	SC	R	ENDO	SMC	X	B	SC	CV	CAL	CV	SMC	SMC	SMC	B	B	PORPH	B	
F	9	B	B	B	B	B	B	B	B	HAL	SC	CV	HAL	SMC	SMC	SMC	X	B	SMC	CV	B	B	B	B	B	SMC	B	B	B	
F	10	B	B	PP	CV	B	B	B	B	B	B	B	B	B	B	HAL	X	CV	HEDO	B	B	B	B	B	B	B	B	MICRO	B	
F	11	SMC	B	BG	B	B	CV	B	PP	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
F	12	B	B	DIAT	SC	BG	SC	B	B	B	B	B	B	B	B	SC	X	CV	B	B	B	B	B	B	B	B	B	B	B	
F	13	B	B	DIAT	B	B	B	B	B	B	B	B	B	B	B	CV	X	CV	CV	B	B	B	B	SC	B	B	B	B	B	
F	14	B	B	SMC	SMC	B	CV	SC	B	B	CV	B	B	B	B	B	X	B	B	B	B	B	B	BG	HEDO	CV	MICRO	CAL	B	
F	15	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	CV	B	B	B	SMC	B	B	B	B	B	
F	16	B	SMC	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
F	17	SMC	B	SMC	B	B	B	B	B	RALF	SC	B	B	B	B	CV	X	B	B	B	B	B	B	BG	BG	B	SC	SC	B	
F	18	B	B	B	B	B	B	B	B	SC	B	B	B	B	CV	B	X	B	B	B	B	B	B	BG	R	SC	SC	HAL	PORPH	
F	19	SMC	B	B	B	B	B	B	B	PORPH	HAL	HAL	SC	POLY	SMC	SMC	X	SMC	B	B	B	B	B	R	HAL	SMC	ULVA	B	SC	
F	20	SC	B	B	SMC	B	B	B	B	PORPH	HAL	B	HAL	POLY	HAL	SMC	X	B	B	B	B	B	B	BG	BG	IRR	B	SMC	B	
F	21	B	SMC	MASTO	B	B	SMC	B	B	PORPH	HAL	BG	SC	POLY	SMC	SMC	X	B	B	B	B	B	B	HAL	SC	SMC	B	B	B	
F	22	B	B	SMC	B	B	B	B	B	B	B	B	B	B	CV	IRR	X	IRR	B	B	B	B	B	B	B	B	B	B	B	
F	23	B	B	B	B	B	B	B	B	B	B	B	SMC	B	B	B	X	B	BG	B	B	B	B	B	B	B	B	B	BG	
F	24	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	R	
